adjektiv
provokantes
fragwürdiges
kontroverses
ironisches
zweifelhaftes
vergessenes
überraschendes
dummes
missverstandenes
unmögliches
falsch zugeordnetes
ungewöhnliches
unterschätztes
überschätztes
zynisches
